label,message
ham,Happy birthday! Hope you have a wonderful day
ham,Let's grab coffee sometime this week
spam,"URGENT! double your money in 24 hours, click cash4u.biz to invest"
spam,FREE ENTRY you have won a $1000 cash prize! Claim now by calling 0684866618
spam,"Dear customer hot singles in your area want to chat, text 0508214862"
ham,"I'm running late, be there in 20 mins"
ham,Are you free this weekend to catch up?
spam,"FREE ENTRY your account has been suspended, verify now at win-prize.net"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"The meeting has been moved to 8pm, see you then"
spam,Limited time offer you have won a $500 cash prize! Claim now by calling 0026811775
ham,"The meeting has been moved to 7:30, see you then"
spam,"WINNER!! your subscription will renew for $5000, cancel at bit.ly/claimnow"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"Limited time offer act now to avoid your account being closed, visit win-prize.net"
spam,URGENT! you've won a brand new voucher! Text WIN to 0135680442 to claim
spam,"FREE ENTRY hot singles in your area want to chat, text 0003791769"
spam,"You have been selected double your money in 24 hours, click secure-verify.com to invest"
ham,See you at the gym at noon?
ham,"I finished the report, sending it over now"
ham,Let's grab coffee sometime this week
ham,"I'm running late, be there in 10 mins"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,"I finished the report, sending it over now"
spam,"Alert: hot singles in your area want to chat, text 0361832421"
ham,"I finished the report, sending it over now"
spam,"URGENT! hot singles in your area want to chat, text 0613791805"
ham,"Thanks for helping me move last weekend, really appreciate it"
spam,"Final notice claim your free laptop today, reply YES to 0796886805"
spam,"URGENT! claim your free voucher today, reply YES to 0888993756"
ham,"Hey, are we still meeting for lunch 5pm?"
ham,Happy to help with the project this weekend
ham,Mom said dinner will be ready by tomorrow morning
ham,"Just landed, will call you once I get home"
ham,Happy birthday! Hope you have a wonderful day
spam,"Dear customer you have unclaimed rewards worth $5000, respond ASAP"
spam,"Alert: claim your free iPhone today, reply YES to 0267888610"
ham,Mom said dinner will be ready by 7:30
spam,"FREE ENTRY you have unclaimed rewards worth $1000, respond ASAP"
ham,Let me know if you need anything from the store
spam,"Attention hot singles in your area want to chat, text 0753396360"
ham,Can you pick up milk on your way home?
spam,"Attention exclusive deal just for you, cruise ticket at 90% off, visit bit.ly/claimnow"
spam,"Attention double your money in 24 hours, click secure-verify.com to invest"
ham,Let's grab coffee sometime this week
ham,Can we reschedule our call to tomorrow morning?
ham,Mom said dinner will be ready by 9am
ham,Mom said dinner will be ready by 5pm
ham,"Just landed, will call you once I get home"
ham,Can we reschedule our call to noon?
spam,"URGENT! your parcel could not be delivered, pay a fee at secure-verify.com"
ham,Let's grab coffee sometime this week
ham,Don't forget about the appointment tomorrow at 7:30
ham,Happy to help with the project this weekend
ham,Let's grab coffee sometime this week
spam,"Attention claim your free holiday package today, reply YES to 0149784036"
ham,Let me know if you need anything from the store
spam,"Attention get a loan approved instantly, no credit check, call 0499727875"
ham,"I finished the report, sending it over now"
spam,"Final notice lowest prices on laptop, order now at cash4u.biz before offer ends"
